,longitude,latitude,time,B8,B4,B5,B11,B9,B1,SR_n2,SR_N,TBVI1,NDWI,NDVI_G,sys_index,P,K,OC,N,pH
31,74.9353499603328,33.80059478521579,1613454580078,2044.0,1662.0,1797.0,2517.0,1740.0,996.0,1.2775,1.4726507713884993,0.5575550729134346,-0.12184412733260154,0.13513513513513514,31,16.266946241902826,217.7497798049252,0.37054476132180647,204.7837024874559,7.859913776588224
32,74.80554340177753,33.80095411132944,1613454580078,5728.0,4992.0,4804.0,4435.0,4853.0,4647.0,1.115264797507788,0.9420592705167173,0.477155343663091,-0.054491899852724596,-0.017533432392273403,32,62.421929966021686,136.70021519911958,0.5025723613797213,241.19027400402894,5.923743235647806
33,74.93579911797487,33.80095411132944,1613454580078,1144.0,930.0,1129.0,1852.0,1575.0,1013.0,1.1085271317829457,1.3930753564154785,0.5348176219801042,-0.051470588235294115,0.14,33,24.212559471218555,243.8993314941262,0.6315961701633772,291.2079363188667,6.918508517847832
34,74.93579911797487,33.801133774386265,1613454580078,1710.0,1346.0,1458.0,2300.0,1725.0,972.0,1.381260096930533,1.4697508896797153,0.5646785437645236,-0.16010854816824965,0.14325259515570934,34,21.540645875625447,258.01700185467377,0.2774926702311412,217.07634794502712,7.487405258096406
35,74.93543979186121,33.80032529063056,1613454580078,1658.0,1218.0,1482.0,2772.0,2046.0,1069.0,1.4195205479452055,1.7888257575757576,0.5839243498817966,-0.17338995046001415,0.23585214262348708,35,25.59939007674474,223.8017331996224,0.1584896181666734,206.7331156925822,7.177592233809265
36,74.9353499603328,33.80077444827262,1613454580078,1908.0,1580.0,1792.0,2415.0,1740.0,996.0,1.308641975308642,1.5261538461538462,0.5795601552393272,-0.13368983957219252,0.15281812899477049,36,18.383853377440033,208.71083172627183,0.25269625406551033,214.5080820955385,7.758400123581619
37,74.80850784221512,33.80059478521579,1613454580078,,,,,,,,,,,,37,,,,,
38,74.93543979186121,33.800864279801026,1613454580078,1722.0,1542.0,1374.0,2015.0,1740.0,996.0,1.0926395939086295,1.0729461756373937,0.49318018664752333,-0.044269254093389936,-0.01973471368489162,38,31.049489695324496,210.5595521533965,0.713080862381787,221.3636007329611,7.143411410001972
39,74.93526012880439,33.800684616744206,1613454580078,,,,,,,,,,,,39,,,,,
40,74.93561945491804,33.80104394285785,1613454580078,1398.0,1074.0,1129.0,1852.0,1575.0,1013.0,1.2504472271914133,1.2979127134724857,0.5171781951442969,-0.11128775834658187,0.1005631536604988,40,24.361269280325036,275.58104436313516,0.6665842548708785,263.7794454519232,7.032647161799669
41,74.9353499603328,33.80077444827262,1613454580078,1908.0,1580.0,1792.0,2415.0,1740.0,996.0,1.308641975308642,1.5261538461538462,0.5795601552393272,-0.13368983957219252,0.15281812899477049,41,18.383853377440033,208.71083172627183,0.25269625406551033,214.5080820955385,7.758400123581619
42,74.93579911797487,33.80041512215897,1613454580078,,,,,,,,,,,,42,,,,,
43,74.93588894950328,33.80095411132944,1613454580078,,,,,,,,,,,,43,,,,,
