B8,B4,B5,B11,B9,B1,SR_n2,SR_N,TBVI1,NDWI,NDVI_G,P,N,OC,K,pH
2395.0,1484.0,1663.0,1374.0,1257.0,2089.0,1.4675245098039216,1.4115405552531302,0.4751428571428571,-0.1894710702756394,0.2274556213017752,24.00,338.00,0.53,120.00,7.29
2395.0,1484.0,1663.0,1374.0,1257.0,2089.0,1.4675245098039216,1.4115405552531302,0.4751428571428571,-0.1894710702756394,0.2274556213017752,24.00,346.00,0.53,122.00,7.20
5291.0,3049.0,3098.0,3254.0,2605.0,3322.0,1.6467475879240585,1.593646988312856,0.4814296814296815,-0.2443555973659454,0.2467471574258586,6.25,,0.58,103.51,7.46
5291.0,3049.0,3098.0,3254.0,2605.0,3322.0,1.6467475879240585,1.593646988312856,0.4814296814296815,-0.2443555973659454,0.2467471574258586,6.01,,0.55,179.38,8.48
5291.0,3049.0,3098.0,3254.0,2605.0,3322.0,1.6467475879240585,1.593646988312856,0.4814296814296815,-0.2443555973659454,0.2467471574258586,7.60,,0.53,101.40,7.15
5291.0,3049.0,3098.0,3254.0,2605.0,3322.0,1.6467475879240585,1.593646988312856,0.4814296814296815,-0.2443555973659454,0.2467471574258586,7.02,,0.64,206.04,7.36
5248.0,3169.0,3585.0,3779.0,3063.0,3640.0,1.6117936117936118,1.8644568427961927,0.5405609167671894,-0.2342427093132643,0.2713438514042744,10.41,,0.51,50.92,7.14
5248.0,3169.0,3585.0,3779.0,3063.0,3640.0,1.6117936117936118,1.8644568427961927,0.5405609167671894,-0.2342427093132643,0.2713438514042744,14.30,,0.47,62.81,7.48
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,6.30,,0.45,71.41,7.45
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,10.50,,0.51,91.64,7.66
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,9.75,,0.52,78.47,7.11
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,9.04,,0.57,57.66,7.29
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,11.63,,0.44,68.95,7.22
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,6.43,,0.46,69.37,8.15
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,11.13,,0.57,58.37,8.44
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,11.84,,0.47,50.69,7.95
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,44.81,,0.51,226.40,7.11
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,11.00,,0.42,52.04,7.22
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,6.27,,0.51,79.21,7.64
5656.0,3381.0,3603.0,3930.0,3081.0,3688.0,1.625754527162978,1.7313131313131314,0.5097623089983022,-0.2383141762452107,0.2658788774002954,10.19,,0.53,98.67,8.45
